text_index,medication,rate,comment
697,Tysabri (natalizumab) for Multiple Sclerosis,3,"I am on my third dose of Tysabri. I did poorly on Avonex, and my neurologist has been hesitant to place me on the other Multiple Sclerosis medicines due to the serious side effects of the Avonex. I developed sepsis 10 times in 2 years. So when I was admitted to the hospital and transferred to ICU twice in 2 months due to MS we decided to try Tysabri. The side effects have been difficult to say the least. Terrible urinary tract infections, headaches, ringing of the ears, anxiety, and depression. I am JCV positive so in fairness the anxiety may be due to fear of the PML virus. I am scheduled to have lab work after the next infusion and will make a decision on continuing therapy."
698,Tysabri (natalizumab) for Multiple Sclerosis,10,"I have been on Tysabri since 2007. I haven't had a single relapse. MRIs are good, symptoms are minimal or nonexistent, whereas before it was relapse after relapse. I was on Copaxone for a year before Tysabri was returned to market and it did nothing for me. I am negative JCV antibodies. I go in to the infusion center every 28 days, have an infusion for an hour, wait for the hour of observation and off I go. No side effects noted during my treatment with this medication. It's not for everyone but it works very well for me."
699,Tysabri (natalizumab) for Multiple Sclerosis,1,"Hell.They won't tell you about the risk of ""rebound effect"" until after you tell them you want to quit.Oh yeah, I'm constantly getting checked for HPV, even though I was vaccinated against it and have been testing negative (for HPV) for over 5 yrs. but thats the least of your worries compared to what else it does to your immune system. They want to have you on it until (if your lucky) you test positive for the JC virus,and take u off ASAP.Otherwise, you'll go unnoticed and risk a brain infection, but it gets worse, they've implied that even while testing negative for the JC virus you could still wind up with ""pml? Pll?"" ( I forget the acronym) but in short your actually risking your life or have ""permanent disability""from this horrible drug"
700,Tysabri (natalizumab) for Multiple Sclerosis,10,"I was dignosed in 2004 with RRMS. After several tries with meds, tysabri was the best. I have been on it now since 2008. MRI comes back no progression lesions seem to be shrinking. I love tysabri it does however make me more fatigue for up to two days after infusion and for the week prior to infusion."
701,Tysabri (natalizumab) for Multiple Sclerosis,7,"I was diagnosed with multiple sclerosis in 2007, 5 days after my 23rd birthday. For the first year I took Copaxone, and it did absolutely nothing for me. Then, since my MS was so aggressive, my doctors chose Tysabri for me. I have loved every minute of being on the medication. Not only have I been stable for 4 years, but my old lesions have shrunk in size. Unfortunately, due to being on the mediation for so long and coming back with a positive JC Virus test I am being taken off the medication which scares me to death. My advice to anyone considering the wonderful medication is that you have a serious conversation about the possibility of PML while on the medication. It's a choice of life or death. 1 in 250 people on Tysabri with a positive test are at risk."
702,Tysabri (natalizumab) for Multiple Sclerosis,8,"I am 24 years old and have been on Tysabri for about a year, after Rebif did not work for me. I have zero symptoms while on Tysabri. Infusion is easy and only once a month, and I went LESION FREE while on it! The ONLY reason it's not a 10 is because of the black box label for PML. This was such a stresser for me even though I was JC negative...until now. I am going off of it because I am now positive and will be switching to a new medicine, which I'm still debating on. Overall I say if you're JC negative, it is an amazing medicine."
703,Tysabri (natalizumab) for Multiple Sclerosis,10,I have been on only 3 types of medications for MS and this (Tysabri) is the best of the 3. I have been on it since June 2010 and have had no ill side effects! I started this medication with a different Dr but once I became JC positive he wanted me to switch to a different medication. I was not happy with the choices he gave me and he was very adamant that I needed to change medications.  I did some research about another MS Clinic and made an appointment there. My Dr now is still very careful with me and keeps taking blood tests every 3 months to monitor my JC number. Last month my number was .65 and as long as it stays below 1.5 he is Ok with me taking it. This medication makes me able to be my husband care taker!
704,Tysabri (natalizumab) for Multiple Sclerosis,1,"After 5 infusions, I have developed nucleated red blood cells. I am now waiting to hear what the neurologist has to say, but as this is a rare but documented side effect, I am done with Tysabri. This was my first medication, and I am loath to try another. Quality of life has got to be a better option than all of these chemicals that will just make me sick."
705,Tysabri (natalizumab) for Multiple Sclerosis,10,I have just had my second infusion and from the first I could see improvements to my balance and to my thinking. I only hope they can come up with something that is just as good as Tysabri without the risks of PML. I am a JC virus positive and I heard that after 2 years your risks of PML increase. 
706,Tysabri (natalizumab) for Multiple Sclerosis,10,"I've been on Tysabri for about 7 years. LOVE, LOVE LOVE this drug! I tried Avonex initially...I learned interferons and I don't get along well! Then Betaseron and Copaxone. Not strong enough. Tried Gilenya...always felt bad on it. Finally settled on Tysabri. Best decision ever! I have no side effects other than about a week before another infusion, I slow down...becoming more symptomatic and cranky! I'm a Tysabri ""junkie!"""
707,Tysabri (natalizumab) for Multiple Sclerosis,1,"The worst drug on the planet after getting one infusion I started limping, after the second infusion I had to rest and lean against something after walking less than a block. I started having suicidal thoughts and my father has me on daily check ins. This medicine is the worst thing I’ve done.  I will never trust a doctor that suggests this drug and doesn’t believe my experience after several witness have commented upon my poor physical ability."
